widths,20 comparisons,20 comparisons_std_err,40 comparisons,40 comparisons_std_err,80 comparisons,80 comparisons_std_err,160 comparisons,160 comparisons_std_err,320 comparisons,320 comparisons_std_err,640 comparisons,640 comparisons_std_err,1280 comparisons,1280 comparisons_std_err
0.01,0.46630000000000005,0.009144725255577671,0.46125,0.005272214904572843,0.4377,0.006149064969570578,0.42510000000000003,0.0073657314640163205,0.40259999999999996,0.005329540317888593,0.3665,0.0025961509971494305,0.3425000000000001,1.7554167342883506e-17
0.01473684210526316,0.46175000000000005,0.009717831548241613,0.45994999999999997,0.004582275635533071,0.43775000000000003,0.00564900433704914,0.4237,0.007506730313525325,0.40214999999999995,0.00537868478347635,0.3662,0.0025438160310840095,0.3425000000000001,1.7554167342883506e-17
0.019473684210526317,0.46659999999999996,0.009320890515396052,0.46159999999999995,0.004732229918336595,0.43800000000000006,0.005605354582896606,0.42305000000000004,0.007565530384579792,0.4003,0.00537735994703721,0.36495,0.0025154025522766727,0.34199999999999997,0.0
0.024210526315789474,0.47015,0.008464647068838722,0.45990000000000003,0.004860966981990307,0.43665000000000004,0.006081961032430244,0.4194,0.0081488649516359,0.39499999999999996,0.005285357130790692,0.3627,0.0027140375826432512,0.3375,0.0
0.02894736842105263,0.46699999999999997,0.00741080292545956,0.45010000000000006,0.005831294881928029,0.42895000000000005,0.005736484114856416,0.41495,0.00872652565457754,0.38954999999999995,0.005596628449343404,0.36029999999999995,0.0017905306476014306,0.3335,0.0
0.03368421052631579,0.45355000000000006,0.007495148430818427,0.44105,0.005459601633819077,0.42015,0.005083330601092157,0.409,0.009379232377972085,0.38364999999999994,0.0047439698565652786,0.3545000000000001,0.0023473389188610983,0.333,1.7554167342883506e-17
0.03842105263157895,0.4367000000000001,0.006354211202029722,0.42845000000000005,0.004986707330493742,0.41114999999999996,0.004451993935305847,0.3996,0.008809313253597016,0.37705,0.0034593713301696847,0.34925,0.002077558663431675,0.33099999999999996,0.0
0.04315789473684211,0.4206,0.005014379323505554,0.41879999999999995,0.004428430873345543,0.40354999999999996,0.004297935550936062,0.38935,0.006997517416912948,0.37510000000000004,0.003330765677738381,0.3498,0.0010421132376090456,0.32799999999999996,0.0
0.04789473684210527,0.41835000000000006,0.004629281801748513,0.4163,0.003936495903719451,0.40374999999999994,0.0037116371051060496,0.38734999999999997,0.005877520735820509,0.3747,0.004123226891646876,0.34885,0.002088121165066819,0.3325,0.0
0.052631578947368425,0.42000000000000004,0.004630334761116089,0.41609999999999997,0.002990652102802998,0.40495000000000003,0.0028376486745190993,0.3894,0.004745945638121026,0.37649999999999995,0.0035937445652132736,0.3555,0.001365650028374767,0.3395,0.0
0.05736842105263158,0.4196,0.0031943700474428424,0.417,0.002464751508773245,0.40675,0.0030350041186133496,0.39554999999999996,0.004143941360588975,0.38235,0.0037013848759619647,0.36235,0.0016356191488240824,0.347,0.0
0.06210526315789474,0.41775,0.0021624638725305893,0.41775,0.0023067834748844575,0.40990000000000004,0.002694253143266235,0.39849999999999997,0.0037040518354904254,0.38605,0.003569628832245723,0.36619999999999997,0.001959846932798572,0.34900000000000003,1.7554167342883506e-17
0.0668421052631579,0.41555,0.0019176157070695927,0.4164,0.002184948511979174,0.41105,0.002616725052427181,0.3997,0.003169542553744941,0.39005,0.003210490616712654,0.3714,0.0018852055590836765,0.35250000000000004,0.0
0.07157894736842106,0.41675000000000006,0.0022729386265361393,0.41665,0.0021237349175450325,0.41255,0.0022830352603496968,0.4003,0.002134478859112926,0.39075000000000004,0.0024821865361007852,0.3759,0.0015808225706890658,0.355,0.0
0.07631578947368421,0.41834999999999994,0.0016538591233838556,0.41745,0.0018926832804249112,0.41384999999999994,0.002209128787554046,0.40325,0.002031317306577194,0.39295,0.002167314005860712,0.38,0.0013946325680981348,0.3585000000000001,1.7554167342883506e-17
0.08105263157894736,0.4200500000000001,0.0017225707532638583,0.42065,0.001730679057480042,0.41629999999999995,0.0021990907211845534,0.40525,0.002053350919838111,0.39935,0.001960930901383321,0.38389999999999996,0.001781572339255408,0.367,0.0
0.08578947368421053,0.42169999999999996,0.001691449082887218,0.42275,0.002219515712942804,0.4189,0.002174626404695759,0.40989999999999993,0.001680476123007994,0.4018999999999999,0.00215499419952816,0.3868999999999999,0.0018718974330876159,0.37250000000000005,0.0
0.09052631578947369,0.42455,0.0017035991312512465,0.4253,0.002279473623449063,0.42125,0.001989032428091608,0.4125,0.001759261208575919,0.40485,0.00261347469855746,0.3887999999999999,0.001975094934427205,0.37150000000000005,0.0
0.09526315789473684,0.42540000000000006,0.0016625281952496367,0.4285500000000001,0.002299402096198053,0.4227,0.0018989470766717013,0.41400000000000003,0.0017832554500127032,0.40779999999999994,0.002912215651355509,0.39165,0.0017277876026873223,0.37150000000000005,0.0
0.1,0.4267,0.0015019986684414847,0.4304500000000001,0.0023900313805471207,0.4240500000000001,0.001672498131538571,0.41585,0.001986265339777139,0.41055,0.003026094843193126,0.39335,0.0016187186290396475,0.37250000000000005,0.0
