widths,20 comparisons,40 comparisons,80 comparisons,160 comparisons,320 comparisons,640 comparisons,1280 comparisons
0.01,0.46630000000000005,0.46125,0.4377,0.42510000000000003,0.40259999999999996,0.3665,0.3425000000000001
0.01473684210526316,0.46175000000000005,0.45994999999999997,0.43775000000000003,0.4237,0.40214999999999995,0.3662,0.3425000000000001
0.019473684210526317,0.46659999999999996,0.46159999999999995,0.43800000000000006,0.42305000000000004,0.4003,0.36495,0.34199999999999997
0.024210526315789474,0.47015,0.45990000000000003,0.43665000000000004,0.4194,0.39499999999999996,0.3627,0.3375
0.02894736842105263,0.46699999999999997,0.45010000000000006,0.42895000000000005,0.41495,0.38954999999999995,0.36029999999999995,0.3335
0.03368421052631579,0.45355000000000006,0.44105,0.42015,0.409,0.38364999999999994,0.3545000000000001,0.333
0.03842105263157895,0.4367000000000001,0.42845000000000005,0.41114999999999996,0.3996,0.37705,0.34925,0.33099999999999996
0.04315789473684211,0.4206,0.41879999999999995,0.40354999999999996,0.38935,0.37510000000000004,0.3498,0.32799999999999996
0.04789473684210527,0.41835000000000006,0.4163,0.40374999999999994,0.38734999999999997,0.3747,0.34885,0.3325
0.052631578947368425,0.42000000000000004,0.41609999999999997,0.40495000000000003,0.3894,0.37649999999999995,0.3555,0.3395
0.05736842105263158,0.4196,0.417,0.40675,0.39554999999999996,0.38235,0.36235,0.347
0.06210526315789474,0.41775,0.41775,0.40990000000000004,0.39849999999999997,0.38605,0.36619999999999997,0.34900000000000003
0.0668421052631579,0.41555,0.4164,0.41105,0.3997,0.39005,0.3714,0.35250000000000004
0.07157894736842106,0.41675000000000006,0.41665,0.41255,0.4003,0.39075000000000004,0.3759,0.355
0.07631578947368421,0.41834999999999994,0.41745,0.41384999999999994,0.40325,0.39295,0.38,0.3585000000000001
0.08105263157894736,0.4200500000000001,0.42065,0.41629999999999995,0.40525,0.39935,0.38389999999999996,0.367
0.08578947368421053,0.42169999999999996,0.42275,0.4189,0.40989999999999993,0.4018999999999999,0.3868999999999999,0.37250000000000005
0.09052631578947369,0.42455,0.4253,0.42125,0.4125,0.40485,0.3887999999999999,0.37150000000000005
0.09526315789473684,0.42540000000000006,0.4285500000000001,0.4227,0.41400000000000003,0.40779999999999994,0.39165,0.37150000000000005
0.1,0.4267,0.4304500000000001,0.4240500000000001,0.41585,0.41055,0.39335,0.37250000000000005
